,Name,Price,Rating,Memory,Display,Camera,Battery,Processor,Warrenty
0,"Samsung Galaxy M31 (Ocean Blue, 128 GB)","19,276",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,6000 mAh Battery,Samsung Exynos 9 Octa 9611 Processor,1 year
1,"Samsung Galaxy M01 (Blue, 32 GB)","8,935",4.2,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM439) Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
2,"Samsung Galaxy M21 (Raven Black, 64 GB)","15,488",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP | 20MP Front Camera,6000 mAh Battery, Exynos 9611-Octa Core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
3,"Samsung Galaxy M11 (Metallic Blue, 32 GB)","11,378",4.2,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
4,"Samsung Galaxy A21s (Black, 64 GB)","14,999",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-ion Battery,Exynos 850 Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
5,"Samsung Galaxy A21s (Blue, 64 GB)","14,999",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-ion Battery,Exynos 850 Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
6,"Samsung Galaxy A31 (Prism Crush Black, 128 GB)","20,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek (MT6768) Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
7,"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)","25,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9611 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
8,"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","25,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9611 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
9,"Samsung Galaxy A21s (White, 64 GB)","14,999",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.51 cm (6.5 inch) HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium-ion Battery,Exynos 850 Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
10,"Samsung Galaxy A51 (Prism Crush White, 128 GB)","25,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9611 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
11,"Samsung Galaxy M11 (Violet, 32 GB)","11,329",4.2,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
12,"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)","23,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9611 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
13,"Samsung Galaxy A51 (Prism Crush Black, 128 GB)","23,999",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9611 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
14,"Samsung M01 core (Blue, 16 GB)","6,139",4.1,1 GB RAM | 16 GB ROM | Expandable Upto 512 GB,13.46 cm (5.3 inch) Full HD+ Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,MediaTek | MT6739WW quad core  Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
15,"Samsung Galaxy M11 (Metallic Blue, 64 GB)","14,250",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
16,"Samsung Galaxy A71 (Haze Crush Silver, 128 GB)","30,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,17.02 cm (6.7 inch) Full HD+ Display,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,4500 mAh Lithium-ion Battery,Qualcomm SM7150 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
17,"Samsung Galaxy A10s (Black, 32 GB)","10,888",4.3,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4000 mAh Lithium-ion Battery,MediaTek MT6762 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
18,"Samsung Galaxy M01 (Black, 32 GB)","8,920",4.2,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,14.48 cm (5.7 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM439) Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
19,"Samsung Galaxy A31 (Prism Crush White, 128 GB)","20,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek (MT6768) Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
20,"Samsung Galaxy A31 (Prism Crush Blue, 128 GB)","20,999",4.3,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek (MT6768) Octa Core Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
21,"Samsung Galaxy M31 (Space Black, 128 GB)","19,260",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,6000 mAh Battery,Samsung Exynos 9 Octa 9611 Processor,1 year
22,"Samsung Galaxy M21 (Midnight Blue, 64 GB)","15,873",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 5MP | 20MP Front Camera,6000 mAh Battery, Exynos 9611-Octa Core processor Processor,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
23,"Samsung Galaxy M31 (Ocean Blue, 64 GB)","18,653",4.4,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 5MP + 5MP | 32MP Front Camera,6000 mAh Battery,Samsung Exynos 9 Octa 9611 Processor,1 year
